ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,1.401195784311735,1.4011955546083918,1.4011960140150783
1,0,1.3990583348610333,1.3990581081051363,1.3990585616169302
2,0,1.3960182460449941,1.3960180030125926,1.3960184890773957
3,0,1.3971298121726021,1.3971295701585897,1.3971300541866145
4,0,1.401885353273841,1.4018851259485308,1.401885580599151
5,0,1.3944661240891814,1.3944658799840084,1.3944663681943543
6,0,1.396762446161952,1.396762206389232,1.3967626859346722
7,0,1.3972039447066493,1.397203703932054,1.3972041854812447
8,0,1.3942819155186985,1.3942816584855242,1.3942821725518728
9,0,1.39959533513428,1.3995950938114132,1.3995955764571468
10,0,1.3997581613825256,1.3997579327454452,1.399758390019606
11,0,1.4007407703143429,1.4007405375903421,1.4007410030383436
12,0,1.3944407886739356,1.3944405239308526,1.3944410534170186
13,0,1.3990699040626886,1.399069668645975,1.3990701394794023
14,0,1.3952263329016423,1.3952260806343926,1.395226585168892
15,0,1.3980289233571024,1.3980286754828546,1.3980291712313502
